2023-12-01 17:26:46
======================training epoch 50======================
Epoch 50/100 | Iter 0/3466 | training loss = 0.016, avg_loss = 0.016
Epoch 50/100 | Iter 20/3466 | training loss = 0.058, avg_loss = 0.086
Epoch 50/100 | Iter 40/3466 | training loss = 0.028, avg_loss = 0.095
Epoch 50/100 | Iter 60/3466 | training loss = 0.042, avg_loss = 0.089
Epoch 50/100 | Iter 80/3466 | training loss = 0.140, avg_loss = 0.087
Epoch 50/100 | Iter 100/3466 | training loss = 0.045, avg_loss = 0.084
Epoch 50/100 | Iter 120/3466 | training loss = 0.069, avg_loss = 0.085
Epoch 50/100 | Iter 140/3466 | training loss = 0.057, avg_loss = 0.083
Epoch 50/100 | Iter 160/3466 | training loss = 0.037, avg_loss = 0.085
Epoch 50/100 | Iter 180/3466 | training loss = 0.033, avg_loss = 0.084
Epoch 50/100 | Iter 200/3466 | training loss = 0.030, avg_loss = 0.083
Epoch 50/100 | Iter 220/3466 | training loss = 0.300, avg_loss = 0.083
Epoch 50/100 | Iter 240/3466 | training loss = 0.061, avg_loss = 0.083
Epoch 50/100 | Iter 260/3466 | training loss = 0.083, avg_loss = 0.082
Epoch 50/100 | Iter 280/3466 | training loss = 0.043, avg_loss = 0.081
Epoch 50/100 | Iter 300/3466 | training loss = 0.100, avg_loss = 0.081
Epoch 50/100 | Iter 320/3466 | training loss = 0.034, avg_loss = 0.081
Epoch 50/100 | Iter 340/3466 | training loss = 0.132, avg_loss = 0.081
Epoch 50/100 | Iter 360/3466 | training loss = 0.062, avg_loss = 0.081
Epoch 50/100 | Iter 380/3466 | training loss = 0.125, avg_loss = 0.083
Epoch 50/100 | Iter 400/3466 | training loss = 0.049, avg_loss = 0.083
Epoch 50/100 | Iter 420/3466 | training loss = 0.142, avg_loss = 0.083
Epoch 50/100 | Iter 440/3466 | training loss = 0.081, avg_loss = 0.084
Epoch 50/100 | Iter 460/3466 | training loss = 0.174, avg_loss = 0.083
Epoch 50/100 | Iter 480/3466 | training loss = 0.109, avg_loss = 0.083
Epoch 50/100 | Iter 500/3466 | training loss = 0.036, avg_loss = 0.082
Epoch 50/100 | Iter 520/3466 | training loss = 0.087, avg_loss = 0.082
Epoch 50/100 | Iter 540/3466 | training loss = 0.120, avg_loss = 0.082
Epoch 50/100 | Iter 560/3466 | training loss = 0.087, avg_loss = 0.081
Epoch 50/100 | Iter 580/3466 | training loss = 0.116, avg_loss = 0.081
Epoch 50/100 | Iter 600/3466 | training loss = 0.107, avg_loss = 0.081
Epoch 50/100 | Iter 620/3466 | training loss = 0.114, avg_loss = 0.081
Epoch 50/100 | Iter 640/3466 | training loss = 0.082, avg_loss = 0.081
Epoch 50/100 | Iter 660/3466 | training loss = 0.100, avg_loss = 0.082
Epoch 50/100 | Iter 680/3466 | training loss = 0.180, avg_loss = 0.082
Epoch 50/100 | Iter 700/3466 | training loss = 0.060, avg_loss = 0.082
Epoch 50/100 | Iter 720/3466 | training loss = 0.011, avg_loss = 0.081
Epoch 50/100 | Iter 740/3466 | training loss = 0.101, avg_loss = 0.081
Epoch 50/100 | Iter 760/3466 | training loss = 0.052, avg_loss = 0.081
Epoch 50/100 | Iter 780/3466 | training loss = 0.162, avg_loss = 0.081
Epoch 50/100 | Iter 800/3466 | training loss = 0.089, avg_loss = 0.081
Epoch 50/100 | Iter 820/3466 | training loss = 0.097, avg_loss = 0.081
Epoch 50/100 | Iter 840/3466 | training loss = 0.074, avg_loss = 0.081
Epoch 50/100 | Iter 860/3466 | training loss = 0.048, avg_loss = 0.081
Epoch 50/100 | Iter 880/3466 | training loss = 0.028, avg_loss = 0.080
Epoch 50/100 | Iter 900/3466 | training loss = 0.043, avg_loss = 0.080
Epoch 50/100 | Iter 920/3466 | training loss = 0.097, avg_loss = 0.080
Epoch 50/100 | Iter 940/3466 | training loss = 0.068, avg_loss = 0.081
Epoch 50/100 | Iter 960/3466 | training loss = 0.060, avg_loss = 0.081
Epoch 50/100 | Iter 980/3466 | training loss = 0.102, avg_loss = 0.080
Epoch 50/100 | Iter 1000/3466 | training loss = 0.071, avg_loss = 0.080
Epoch 50/100 | Iter 1020/3466 | training loss = 0.034, avg_loss = 0.081
Epoch 50/100 | Iter 1040/3466 | training loss = 0.245, avg_loss = 0.081
Epoch 50/100 | Iter 1060/3466 | training loss = 0.053, avg_loss = 0.081
Epoch 50/100 | Iter 1080/3466 | training loss = 0.075, avg_loss = 0.081
Epoch 50/100 | Iter 1100/3466 | training loss = 0.042, avg_loss = 0.081
Epoch 50/100 | Iter 1120/3466 | training loss = 0.030, avg_loss = 0.081
Epoch 50/100 | Iter 1140/3466 | training loss = 0.048, avg_loss = 0.082
Epoch 50/100 | Iter 1160/3466 | training loss = 0.035, avg_loss = 0.082
Epoch 50/100 | Iter 1180/3466 | training loss = 0.091, avg_loss = 0.082
Epoch 50/100 | Iter 1200/3466 | training loss = 0.102, avg_loss = 0.082
Epoch 50/100 | Iter 1220/3466 | training loss = 0.212, avg_loss = 0.082
Epoch 50/100 | Iter 1240/3466 | training loss = 0.035, avg_loss = 0.082
Epoch 50/100 | Iter 1260/3466 | training loss = 0.319, avg_loss = 0.082
Epoch 50/100 | Iter 1280/3466 | training loss = 0.075, avg_loss = 0.082
Epoch 50/100 | Iter 1300/3466 | training loss = 0.137, avg_loss = 0.082
Epoch 50/100 | Iter 1320/3466 | training loss = 0.070, avg_loss = 0.082
Epoch 50/100 | Iter 1340/3466 | training loss = 0.095, avg_loss = 0.081
Epoch 50/100 | Iter 1360/3466 | training loss = 0.057, avg_loss = 0.081
Epoch 50/100 | Iter 1380/3466 | training loss = 0.106, avg_loss = 0.081
Epoch 50/100 | Iter 1400/3466 | training loss = 0.084, avg_loss = 0.081
Epoch 50/100 | Iter 1420/3466 | training loss = 0.052, avg_loss = 0.081
Epoch 50/100 | Iter 1440/3466 | training loss = 0.038, avg_loss = 0.081
Epoch 50/100 | Iter 1460/3466 | training loss = 0.095, avg_loss = 0.081
Epoch 50/100 | Iter 1480/3466 | training loss = 0.054, avg_loss = 0.081
Epoch 50/100 | Iter 1500/3466 | training loss = 0.066, avg_loss = 0.081
Epoch 50/100 | Iter 1520/3466 | training loss = 0.081, avg_loss = 0.081
Epoch 50/100 | Iter 1540/3466 | training loss = 0.035, avg_loss = 0.081
Epoch 50/100 | Iter 1560/3466 | training loss = 0.054, avg_loss = 0.080
Epoch 50/100 | Iter 1580/3466 | training loss = 0.043, avg_loss = 0.080
Epoch 50/100 | Iter 1600/3466 | training loss = 0.144, avg_loss = 0.081
Epoch 50/100 | Iter 1620/3466 | training loss = 0.100, avg_loss = 0.081
Epoch 50/100 | Iter 1640/3466 | training loss = 0.055, avg_loss = 0.081
Epoch 50/100 | Iter 1660/3466 | training loss = 0.083, avg_loss = 0.081
Epoch 50/100 | Iter 1680/3466 | training loss = 0.052, avg_loss = 0.080
Epoch 50/100 | Iter 1700/3466 | training loss = 0.088, avg_loss = 0.080
Epoch 50/100 | Iter 1720/3466 | training loss = 0.170, avg_loss = 0.081
Epoch 50/100 | Iter 1740/3466 | training loss = 0.033, avg_loss = 0.080
Epoch 50/100 | Iter 1760/3466 | training loss = 0.019, avg_loss = 0.080
Epoch 50/100 | Iter 1780/3466 | training loss = 0.084, avg_loss = 0.080
Epoch 50/100 | Iter 1800/3466 | training loss = 0.072, avg_loss = 0.080
Epoch 50/100 | Iter 1820/3466 | training loss = 0.027, avg_loss = 0.080
Epoch 50/100 | Iter 1840/3466 | training loss = 0.105, avg_loss = 0.080
Epoch 50/100 | Iter 1860/3466 | training loss = 0.111, avg_loss = 0.080
Epoch 50/100 | Iter 1880/3466 | training loss = 0.026, avg_loss = 0.081
Epoch 50/100 | Iter 1900/3466 | training loss = 0.058, avg_loss = 0.081
Epoch 50/100 | Iter 1920/3466 | training loss = 0.045, avg_loss = 0.080
Epoch 50/100 | Iter 1940/3466 | training loss = 0.088, avg_loss = 0.080
Epoch 50/100 | Iter 1960/3466 | training loss = 0.096, avg_loss = 0.080
Epoch 50/100 | Iter 1980/3466 | training loss = 0.022, avg_loss = 0.080
Epoch 50/100 | Iter 2000/3466 | training loss = 0.068, avg_loss = 0.080
Epoch 50/100 | Iter 2020/3466 | training loss = 0.026, avg_loss = 0.080
Epoch 50/100 | Iter 2040/3466 | training loss = 0.096, avg_loss = 0.080
Epoch 50/100 | Iter 2060/3466 | training loss = 0.021, avg_loss = 0.080
Epoch 50/100 | Iter 2080/3466 | training loss = 0.021, avg_loss = 0.080
Epoch 50/100 | Iter 2100/3466 | training loss = 0.019, avg_loss = 0.080
Epoch 50/100 | Iter 2120/3466 | training loss = 0.057, avg_loss = 0.080
